country,un1,date,un2,un3
Albania,Albania,2020-03-13[3],,National
Algeria,Algeria,2020-03-23[4],2020-05-14[5],City
Argentina,Argentina,2020-03-19[6],2020-05-24[7],National
Armenia,Armenia,2020-03-24[8],2020-05-04[9],National
Australia,Australia,2020-03-23[10],,National
Austria,Austria,2020-03-16[11],2020-04-13[12],National
Azerbaijan,Azerbaijan,2020-03-31[13],2020-04-20[13],National
Bangladesh,Bangladesh,2020-03-26[14],2020-05-16[15],National
Barbados,Barbados,2020-03-28[16],2020-05-03[16],National
Belgium,Belgium,2020-03-18[17],2020-05-04 [18],National
Bermuda,Bermuda,2020-04-04[19],2020-05-02[20],National
Bolivia,Bolivia,2020-03-22[21],2020-04-15[21],National
Botswana,Botswana,2020-04-02[22],2020-04-30[22],National
Brazil,Santa Catarina,2020-03-17[23],2020-04-07[23],State
Brazil,Ṣo Paulo,2020-03-24[24],2020-05-10[25],State
Chile,Chile,2020-03-19[26],,National
Colombia,Colombia,2020-03-25[27],2020-05-31[28],National
Republic of the Congo,Republic of the Congo,2020-03-31[29],2020-04-20[29],National
Costa Rica,Costa Rica,2020-03-23[30],,National
Croatia,Croatia,2020-03-18[31],2020-04-19[32],National
Cuba,Cuba,2020-03-23[33],2020-04-20[33],National
Czech Republic,Czech Republic,2020-03-16[11],2020-04-12[34],National
Denmark,Denmark,2020-03-11[35],2020-04-13[35],National
Dominican Republic,Dominican Republic,2020-03-19[36],,National
Ecuador,Ecuador,2020-03-16[37],2020-03-31[37],National
El Salvador,El Salvador,2020-03-12[38],2020-04-02[38],National
Eritrea,Eritrea,2020-04-02[39],2020-04-23[39],National
Fiji,Lautoka,2020-03-20[40],2020-04-07[41],City
Fiji,Suva,2020-04-03[42],2020-04-17[43],City
Finland,Uusimaa,2020-03-27[44],2020-04-16[44],Region
France,France,2020-03-17[45],2020-05-11[46],National
Georgia,Georgia,2020-03-31[47],2020-04-21[47],National
Germany,Germany,2020-03-23[a][49],2020-04-20[50]to 2020-05-10[51],National
Ghana,Accra,2020-03-30[52],2020-04-12[53],Metropolitan Area
Ghana,Kumasi,2020-03-30[52],2020-04-12[53],Metropolitan Area
Greece,Greece,2020-03-23[54],2020-05-04[55],National
Guernsey,Guernsey,2020-03-25[56],,National
Honduras,Honduras,2020-03-20[57],2020-05-17[58],National
Hungary,Hungary,2020-03-28[59],2020-04-10[59],National
India,India,2020-03-25[60],2020-05-31[61],National
Iran,Iran,2020-03-14[62],2020-04-20[63],National
Iraq,Iraq,2020-03-22[64],2020-04-11[65],National
Ireland,Ireland,2020-03-12[66],2020-05-18[67],National
Israel,Bnei Brak,2020-04-02[68],,City
Italy,Italy,2020-03-09[b][69],2020-05-03[c][70],National
Jamaica,Saint Catherine,2020-04-15[71],2020-04-22[71],Parish
Jordan,Jordan,2020-03-18[72],2020-04-30[73],National
Kosovo,Kosovo,2020-03-14[74],2020-05-04 [75],National
Kuwait,Kuwait,2020-03-14[76],2020-03-29[76],National
Lebanon,Lebanon,2020-03-15[77],2020-03-28[77],National
Liberia,Margibi,2020-03-23[78],2020-04-11[78],County
Liberia,Montserrado,2020-03-23[78],2020-04-11[78],County
Libya,Libya,2020-03-22[79],,National
Lithuania,Lithuania,2020-03-16[80],2020-04-27[81],National
Luxembourg,Luxembourg,2020-03-18[82],2020-04-20to 2020-05-25[83],National
Madagascar,Antananarivo,2020-03-23[84],2020-04-20[85],City
Madagascar,Toamasina,2020-03-23[84],2020-04-20[85],City
Malaysia,Malaysia,2020-03-18[86],2020-06-09[87],National
Mongolia,Mongolia,2020-03-10[88],2020-03-16[88],National
Montenegro,Tuzi,2020-03-24[89],,Municipality
Morocco,Morocco,2020-03-19[90],2020-04-20[91],National
Namibia,Namibia,2020-03-27[d][92],2020-05-04[93],National
Nepal,Nepal,2020-03-24[94],2020-04-15[95],National
Netherlands,Netherlands,2020-03-16[96],2020-04-28[97],National
New Zealand,New Zealand,2020-03-26[98],2020-05-14[99],National
Nigeria,Abuja,2020-03-30[100],2020-04-12[100],City
Nigeria,Lagos,2020-03-30[100],2020-04-12[100],City
Nigeria,Ogun,2020-03-30[100],2020-04-12[100],State
Northern Cyprus,Northern Cyprus,2020-03-30[101],,National
Norway,Norway,2020-03-12[102],2020-04-13[102],National
Oman,Muscat,2020-04-10[103],2020-05-29[104],Governorate
Oman,Jalan Bani Bu Ali,2020-04-16[105],TBD[105],Province
Pakistan,Pakistan,2020-03-24[106],2020-05-09[107],National
Panama,Panama,2020-03-25[108],,National
Papua New Guinea,Papua New Guinea,2020-03-24[109],2020-04-07[109],National
Paraguay,Paraguay,2020-03-20[110],2020-05-03[111],National
Peru,Peru,2020-03-16[112],2020-05-24[113],National
Philippines,Cebu,2020-03-27[114],2020-05-15[e][115]to 2020-05-31[f][116],Province
Philippines,Davao Region,2020-03-19[117],2020-05-15[115],Region
Philippines,Luzon,2020-03-15[g][118],2020-04-30[h][119]to 2020-05-15[i][120]to 2020-05-31[f][116],Island group
Philippines,Soccsksargen,2020-03-23[117],,Region
Poland,Poland,2020-03-13[121],2020-04-11[122],National
Portugal,Portugal,2020-03-19[123],2020-04-02[122],National
Qatar,Doha Industrial Area,2020-03-11[124],,Industrial park
Romania,Romania,2020-03-25[125],2020-05-12[126],National
Russia,Moscow,2020-03-30[127],2020-05-12[128][129],Metropolitan area
Russia,Rest of the country[j],2020-03-28[130],2020-04-30[130],National
Rwanda,Rwanda,2020-03-21[131],2020-04-19[132],National
Samoa,Samoa,2020-03-26[133],2020-04-08[134],National
San Marino,San Marino,2020-03-14[135],2020-05-05[136],National
Saudi Arabia,Jeddah,2020-03-29[137],,City
Saudi Arabia,Mecca,2020-03-26[137],,City
Saudi Arabia,Medina,2020-03-26[137],,City
Saudi Arabia,Qatif,2020-03-09[138],,Area
Saudi Arabia,Riyadh,2020-03-26[137],,City
Serbia,Serbia,2020-03-15[122],2020-04-21[139]to 2020-05-04[140],National
Singapore,Singapore,2020-04-07[141],2020-06-01[142],National
Slovakia,Slovakia,2020-03-16[143],2020-04-22[144],National
South Africa,South Africa,2020-03-26[145],2020-04-30[146],National
Spain,Spain,2020-03-14[147],2020-05-09[148],National
Switzerland,Switzerland,2020-03-17[149],2020-04-27to 2020-05-11[150],National
Thailand,Thailand,2020-03-25[151],2020-05-31[152],National
Trinidad and Tobago,Trinidad and Tobago,2020-03-17[153],2020-03-31[153],National
Tunisia,Tunisia,2020-03-22[154],2020-04-19[155],National
Turkey,Turkey,2020-04-23[156],2020-04-27[156],National[k]
Ukraine,Ukraine,2020-03-17[122],2020-04-24[122],National
United Arab Emirates,United Arab Emirates,2020-03-26[157],2020-04-17[158],National
United Kingdom,United Kingdom,2020-03-23[159],,National
United States,California,2020-03-19[160],,State
United States,"Clark County, NV",2020-03-20[161],,County
United States,Connecticut,2020-03-23[162],2020-04-22[163],State
United States,Illinois,2020-03-21[164],2020-05-30[165],State
United States,"Kansas City, KS",2020-03-24[166],2020-04-19[167],City
United States,Massachusetts,2020-03-24[168],2020-05-04[168],State
United States,Michigan,2020-03-24[169],2020-04-13[163],State
United States,New York,2020-03-20[170],2020-06-13[171],State
United States,Oregon,2020-03-24[172],,State
United States,Wisconsin,2020-03-24[173],,State
Venezuela,Venezuela,2020-03-17[174],2020-05-13[175],National
Zimbabwe,Zimbabwe,2020-03-30[176],2020-05-02[177],National
